"filename", "language", "Markdown", "TypeScript", "YAML", "JSON", "PostCSS", "JSON with Comments", "Vue", "MS SQL", "Shell Script", "comment", "blank", "total"
"/Users/so.shah/Documents/centralized-notifications-test/backend/test/summary-scheduler.test.ts", "TypeScript", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 10, 151
"/Users/so.shah/Documents/centralized-notifications-test/docs/.vitepress/config.mts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/so.shah/Documents/centralized-notifications-test/docs/api/admin.md", "Markdown", -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, -25, -108
"/Users/so.shah/Documents/centralized-notifications-test/docs/api/index.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/so.shah/Documents/centralized-notifications-test/docs/api/me.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 64
"/Users/so.shah/Documents/centralized-notifications-test/docs/api/module-sim.md", "Markdown", 288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 379
"/Users/so.shah/Documents/centralized-notifications-test/docs/api/notifications.md", "Markdown", 363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 510
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-23-ai-chat-actions.md", "Markdown", 801, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 1011
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-24-action-dispatch.md", "Markdown", 1166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334, 1500
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-24-ui-component-library.md", "Markdown", 801, 0, 0, 0, 0, 0, 0, 0, 0, 1, 217, 1019
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-31-per-user-settings.md", "Markdown", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 280
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/plans/2026-07-31-scheduled-summaries.md", "Markdown", 1274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288, 1562
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-23-ai-chat-actions-design.md", "Markdown", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 187
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-24-action-dispatch-design.md", "Markdown", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 250
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-24-ui-component-library-design.md", "Markdown", 184, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 220
"/Users/so.shah/Documents/centralized-notifications-test/docs/superpowers/specs/2026-07-31-per-user-settings-design.md", "Markdown", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 199
