"filename", "language", "YAML", "JSON", "JavaScript", "Ignore", "Markdown", "TypeScript", "PostCSS", "JSON with Comments", "HTML", "Vue", "Python", "XML", "Docker", "Skill", "MS SQL", "Shell Script", "comment", "blank", "total"
"/Users/so.shah/Documents/centralized-notifications-test/.dockerignore", "Ignore", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 18
"/Users/so.shah/Documents/centralized-notifications-test/.github/workflows/ci.yml", "YAML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 56
"/Users/so.shah/Documents/centralized-notifications-test/.mcp.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/so.shah/Documents/centralized-notifications-test/.prettierignore", "Ignore", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/so.shah/Documents/centralized-notifications-test/.prettierrc", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/so.shah/Documents/centralized-notifications-test/CLAUDE.md", "Markdown", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"/Users/so.shah/Documents/centralized-notifications-test/PR_NOTES_muted-view.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 32
"/Users/so.shah/Documents/centralized-notifications-test/PR_NOTES_ui-component-library.md", "Markdown", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 124
"/Users/so.shah/Documents/centralized-notifications-test/README-SETUP.md", "Markdown", 0, 0, 0, 0, 339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 434
"/Users/so.shah/Documents/centralized-notifications-test/backend/Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, 3, 19
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/001_identity.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 4, 6, 35
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/002_notifications.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 12, 3, 41
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/003_notification_reads.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 12, 3, 21
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/004_notifications_keyset_index.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 3, 11
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/005_admin.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 12, 5, 35
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/006_retention_setting.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/007_seed_modules.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7, 1, 14
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/008_priority_rank.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 2, 18
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/009_priority_low_keyset_index.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 7, 1, 11
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/010_notifications_counts_index.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/011_notification_reads_userkey.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 8, 5, 19
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/012_modules_drop_label.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/013_modules_base_url.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 5, 2, 9
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/014_action_dispatches.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 18, 2, 32
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/015_user_summaries.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 1, 9
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/016_summary_time.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/017_users_timezone.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 4
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/018_user_preferences.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 3, 1, 10
"/Users/so.shah/Documents/centralized-notifications-test/backend/migrations/019_user_mute_rules.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 1, 13
"/Users/so.shah/Documents/centralized-notifications-test/backend/package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/guards.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 32
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/me.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 36
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/password.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 20
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/repository.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 57
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/routes.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 61
"/Users/so.shah/Documents/centralized-notifications-test/backend/src/auth/seed.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 105
